date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:15	83997/83997	---MCZ	200	added ('OK')	text/html	etag:W/%22a4755e49b818c3d2af23d835e31b8c49%22	https://zen-g-seven.vercel.app/home-vertical.html	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/home-vertical.html	(from )
10:56:16	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jul%202025%2005:53:46%20GMT	https://zen-g-seven.vercel.app/robots.txt		(from )
10:56:17	231913/231913	---MCZ	200	added ('OK')	text/css	etag:W/%226d490dfc49c8cc2a11390cbb06e144bd%22	https://zen-g-seven.vercel.app/css/bootstrap.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/css/bootstrap.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:17	3277/3277	---MCZ	200	added ('OK')	text/css	etag:W/%22e517201b1c08b27d43d3cbb1ff2aa7ff%22	https://zen-g-seven.vercel.app/css/odometer.min.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/css/odometer.min.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:18	18457/18457	---MCZ	200	added ('OK')	text/css	etag:W/%221587a67ad80c9dae312c36ce82047d94%22	https://zen-g-seven.vercel.app/css/swiper-bundle.min.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/css/swiper-bundle.min.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:18	27302/27302	---MCZ	200	added ('OK')	text/css	etag:W/%22cd9f328341d8a71bd73996afd38f9f0d%22	https://zen-g-seven.vercel.app/css/animateText.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/css/animateText.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:19	13735/13735	---MCZ	200	added ('OK')	text/css	etag:W/%22bf690022e901127d894f91e686c47c7e%22	https://zen-g-seven.vercel.app/css/jquery.fancybox.min.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/css/jquery.fancybox.min.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:19	82948/82948	---MCZ	200	added ('OK')	text/css	etag:W/%225685b4f25b021e3bc49bb55f63f10b5b%22	https://zen-g-seven.vercel.app/css/styles.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/css/styles.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:20	8259/8259	---MCZ	200	added ('OK')	text/css	etag:W/%220f6cf34acc28334304bed83f6de61e02%22	https://zen-g-seven.vercel.app/font/fonts.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/font/fonts.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:20	1824/1824	---MCZ	200	added ('OK')	text/css	etag:W/%226e785d0b6b865b02ed73f07e7479f9ca%22	https://zen-g-seven.vercel.app/icons/icomoon/style.css	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/icons/icomoon/style.css	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:21	1646/1646	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b95f1a46ac3b161773a9d6c2c4beb626%22	https://zen-g-seven.vercel.app/images/logo/favicon.svg	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/logo/favicon.svg	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:21	9550/9550	---M--	200	added ('OK')	image/webp	etag:%22d87020cf83a0b8f74d619061599394ad%22	https://zen-g-seven.vercel.app/images/user/avatar-2.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/user/avatar-2.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:22	73206/73206	---M--	200	added ('OK')	image/webp	etag:%22927e279371dda7aacf023006b54f165c%22	https://zen-g-seven.vercel.app/images/user/avatar.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/user/avatar.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:23	157939/157939	---M--	200	added ('OK')	image/png	etag:%22c471bbe450f2af2fca6285296ecc4e94%22	https://zen-g-seven.vercel.app/images/item/small-comet.png	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/item/small-comet.png	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:23	78778/78778	---M--	200	added ('OK')	image/webp	etag:%22f9899864fbc7042d338743b62b39427b%22	https://zen-g-seven.vercel.app/images/item/small-comet.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/item/small-comet.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:24	11250/11250	---M--	200	added ('OK')	image/webp	etag:%223e5652befb1ca9b4ba28d6ddd0606f3c%22	https://zen-g-seven.vercel.app/images/item/service-item-1.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/item/service-item-1.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:24	9614/9614	---M--	200	added ('OK')	image/webp	etag:%22b61c450305418857f2de7cffd5a6e012%22	https://zen-g-seven.vercel.app/images/item/service-item-2.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/item/service-item-2.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:25	5780/5780	---M--	200	added ('OK')	image/webp	etag:%224973b6db8898a741bde62c2ead015f91%22	https://zen-g-seven.vercel.app/images/item/service-item-3.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/item/service-item-3.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:26	7236/7236	---M--	200	added ('OK')	image/webp	etag:%22373c4c287ed636fa783c510496be8f9e%22	https://zen-g-seven.vercel.app/images/item/service-item-4.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/item/service-item-4.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:26	80362/80362	---M--	200	added ('OK')	image/webp	etag:%22e8ae17ca39ca9662239e94a312291783%22	https://zen-g-seven.vercel.app/images/user/portfolio-item-1.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/user/portfolio-item-1.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:27	82132/82132	---M--	200	added ('OK')	image/webp	etag:%224ddf2b336563a4a5082d9fedf5ee7385%22	https://zen-g-seven.vercel.app/images/user/portfolio-item-2.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/user/portfolio-item-2.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:27	79908/79908	---M--	200	added ('OK')	image/webp	etag:%22a83b610becc20d512ed473fe8a9f05f1%22	https://zen-g-seven.vercel.app/images/user/portfolio-item-3.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/user/portfolio-item-3.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:28	71848/71848	---M--	200	added ('OK')	image/webp	etag:%2285ebc08b8a3c011a73a00eded06958fb%22	https://zen-g-seven.vercel.app/images/user/portfolio-item-4.webp	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/user/portfolio-item-4.webp	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:28	2706/2706	---M--	200	added ('OK')	image/png	etag:%220d01d3cd1ebc753f371610698263c90d%22	https://zen-g-seven.vercel.app/images/logo/partner-1.png	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/logo/partner-1.png	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:29	1269/1269	---M--	200	added ('OK')	image/png	etag:%22195c06d64b0854cfd220c11d703105c5%22	https://zen-g-seven.vercel.app/images/logo/partner-3.png	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/logo/partner-3.png	(from https://zen-g-seven.vercel.app/home-vertical.html)
10:56:29	1416/1416	---M--	200	added ('OK')	image/png	etag:%22d9b7b7f9d7daec2b67c022ee1023145d%22	https://zen-g-seven.vercel.app/images/logo/partner-2.png	C:/Users/MHE/Desktop/aaliyan%20c.v/zen-g-seven.vercel.app/images/logo/partner-2.png	(from https://zen-g-seven.vercel.app/home-vertical.html)
